Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Supplementary Figure 4b-d,Levofloxacin,ATEC-C,MIC,"1,2,3,4,5,6",0.0779649035862799;0.0863505583395722;0.07168716328627604;0.1293620958736404;0.09761967614688498;0.07860628307572971,6,0.0884574793508053,0.0706694149643115,0.11072294368150185,0.07168716328627606,0.1293620958736404
Supplementary Figure 4b-d,Levofloxacin,ATEC-C-r,IC50,1,0.05846854528461515,1,0.058468545284615155,,,0.058468545284615155,0.058468545284615155
Supplementary Figure 4b-d,Levofloxacin,ATEC-C-r,MIC,1,0.42699400717969865,1,0.42699400717969865,,,0.42699400717969865,0.42699400717969865
Supplementary Figure 4b-d,Amikacin,ATEC,IC50,"1,2,3,4,5,6",14.22519297893522;8.538239884694956;7.969062741097515;6.315492174528123;8.194009923004973;6.624767544688454,6,8.320536868972816,6.14215040500077,11.27151391987563,6.3154921745281225,14.225192978935222
Supplementary Figure 4b-d,Amikacin,ATEC,MIC,"1,2,3,4,5,6",103.95698010516901;59.1002471911136;60.58244088439459;63.18070354120247;48.599920051326016;40.66778909174384,6,59.96208362631648,43.01750963768794,83.58111622666718,40.667789091743835,103.95698010516897
Supplementary Figure 4b-d,Amikacin,ATEC-C,IC50,"1,2,3,4,5,6",3.2173850020139154;6.278814594246349;7.692458187075159;6.365344757608565;9.032047874634026;7.555802813416105,6,6.381005254430059,4.366512134723765,9.324886041943838,3.2173850020139154,9.032047874634026
Supplementary Figure 4b-d,Amikacin,ATEC-C,MIC,"1,2,3,4,5,6",23.29795375963758;32.39707763041225;43.53488132471466;51.85774838082769;28.068765695058495;52.817128971388186,6,36.90445450946187,25.853808125350643,52.67845866410325,23.297953759637576,52.81712897138818
Supplementary Figure 4b-d,Amikacin,ATEC-C-r,IC50,1,10.378019895468432,1,10.37801989546843,,,10.37801989546843,10.37801989546843
Supplementary Figure 4b-d,Amikacin,ATEC-C-r,MIC,1,40.91444007117422,1,40.91444007117422,,,40.91444007117422,40.91444007117422
Supplementary Figure 4b-d,Cefepime,ATEC,IC50,"3,5,6,1,2,4",0.03309730695724207;0.032395179276947746;0.03930871299688693;0.05636216349117402;0.04859784459895651;0.05963077215989954,6,0.04361536331174151,0.03303249503500555,0.057588744501415406,0.03239517927694775,0.05963077215989954
