"Feature","Gene","Probe","Summed_Counts"
"cycA-4","cycA","4",882
"cydA-1","cydA","1",580
"cydB-2","cydB","2",1954
"cydC-4","cydC","4",555
"cydD-2","cydD","2",687
"cynR-3","cynR","3",165
"cynS-4","cynS","4",118
"cynT-3","cynT","3",48
"cynX-1","cynX","1",0
"cyoA-5","cyoA","5",5671
"cyoB-5","cyoB","5",5186
"cyoC-1","cyoC","1",3439
"cyoD-3","cyoD","3",97
"cyoE-1","cyoE","1",0
"cysA-4","cysA","4",32
"cysB-5","cysB","5",2872
"cysC-1","cysC","1",0
"cysD-3","cysD","3",103
"cysE-1","cysE","1",202
"cysG-3","cysG","3",207
"cysH-3","cysH","3",102
"cysI-2","cysI","2",77
"cysJ-5","cysJ","5",99
"cysK-4","cysK","4",1092
"cysM-1","cysM","1",0
"cysN-4","cysN","4",50
"cysP-5","cysP","5",76
"cysQ-3","cysQ","3",10
"cysS-4","cysS","4",515
"cysU-1","cysU","1",0
"cysW-1","cysW","1",0
"cysZ-3","cysZ","3",361
"cytR-1","cytR","1",483
"dacA-4","dacA","4",1554
"dacB-2","dacB","2",842
"dacC-2","dacC","2",646
"dacD-3","dacD","3",453
"dadA-3","dadA","3",200
"dadX-2","dadX","2",66
"dam-4","dam","4",683
"damX-5","damX","5",2353
"dapA-1","dapA","1",4212
"dapB-4","dapB","4",50
"dapD-1","dapD","1",347
"dapE-1","dapE","1",281
"dapF-1","dapF","1",0
"dbpA-1","dbpA","1",405
"dcd-4","dcd","4",477
"dcm-3","dcm","3",31
"dcp-5","dcp","5",415
"dcrB-5","dcrB","5",1226
"dctA-4","dctA","4",565
"dcuA-4","dcuA","4",374
"dcuB-1","dcuB","1",44
"dcuC-2","dcuC","2",24
"dcuD-1","dcuD","1",50
"dcuR-3","dcuR","3",271
"dcuS-1","dcuS","1",247
"dcyD-5","dcyD","5",543
"ddlA-4","ddlA","4",572
"ddlB-5","ddlB","5",104
"ddpA-3","ddpA","3",31
"ddpB-1","ddpB","1",17
"ddpC-4","ddpC","4",72
"ddpD-1","ddpD","1",41
"ddpF-2","ddpF","2",16
"ddpX-2","ddpX","2",48
"deaD-2","deaD","2",26773
"dedA-1","dedA","1",1317
"dedD-1","dedD","1",0
"def-2","def","2",2386
"degP-2","degP","2",661
"degQ-5","degQ","5",360
"degS-2","degS","2",313
"deoA-5","deoA","5",42
"deoB-5","deoB","5",291
"deoC-2","deoC","2",106
"deoD-1","deoD","1",1052
"deoR-1","deoR","1",7
"der-3","der","3",1088
"dfp-4","dfp","4",1647
"dgkA-1","dgkA","1",0
"dgoA-1","dgoA","1",0
"dgoD-5","dgoD","5",167
"dgoK-1","dgoK","1",216
"dgoR-4","dgoR","4",37
"dgoT-1","dgoT","1",0
"dgsA-5","dgsA","5",514
"dgt-1","dgt","1",198
"dhaK-1","dhaK","1",166
"dhaL-1","dhaL","1",138
"dhaM-3","dhaM","3",169
"dhaR-2","dhaR","2",225
"diaA-4","diaA","4",591
"dicA-2","dicA","2",196
"dicB-1","dicB","1",1
"dicC-5","dicC","5",40
"dinB-3","dinB","3",2
"dinD-1","dinD","1",237
"dinF-4","dinF","4",338
"dinG-5","dinG","5",1000
"dinI-5","dinI","5",129
"dinJ-5","dinJ","5",1191
"dipZ-2","dipZ","2",261
"djlA-5","djlA","5",17
"djlB-2","djlB","2",56
"djlC-1","djlC","1",78
"dkgA-1","dkgA","1",383
"dkgB-3","dkgB","3",255
"dksA-4","dksA","4",24
"dld-1","dld","1",485
"dmsA-3","dmsA","3",149
"dmsB-4","dmsB","4",186
"dmsC-2","dmsC","2",3
"dmsD-1","dmsD","1",674
"dnaA-3","dnaA","3",14343
"dnaB-5","dnaB","5",1562
"dnaC-4","dnaC","4",1136
"dnaE-4","dnaE","4",373
"dnaG-2","dnaG","2",5785
"dnaJ-2","dnaJ","2",5333
"dnaK-4","dnaK","4",8170
"dnaN-3","dnaN","3",298
"dnaQ-2","dnaQ","2",171
"dnaT-1","dnaT","1",0
"dnaX-2","dnaX","2",3869
"dos-5","dos","5",70
"dppA-3","dppA","3",726
"dppB-4","dppB","4",8
"dppC-1","dppC","1",80
"dppD-4","dppD","4",99
"dppF-5","dppF","5",26
"dps-5","dps","5",782
"dsbA-2","dsbA","2",828
"dsbB-1","dsbB","1",579
"dsbC-5","dsbC","5",1357
"dsbG-3","dsbG","3",304
"dsdA-5","dsdA","5",177
"dsdC-3","dsdC","3",111
"dsdX-5","dsdX","5",51
