"Feature","Gene","Probe","Summed_Counts"
"fusA-2","fusA","2",4468
"fxsA-1","fxsA","1",2222
"gabD-4","gabD","4",4
"gabP-3","gabP","3",24
"gabT-1","gabT","1",5
"gadA-4","gadA","4",14
"gadB-3","gadB","3",368
"gadC-1","gadC","1",168
"gadE-2","gadE","2",1
"gadW-2","gadW","2",358
"gadX-3","gadX","3",311
"galE-3","galE","3",204
"galF-4","galF","4",679
"galM-3","galM","3",5
"galP-5","galP","5",149
"galR-1","galR","1",327
"galS-2","galS","2",1324
"galU-5","galU","5",724
"gapA-3","gapA","3",7149
"gapC-4","gapC","4",1898
"garD-1","garD","1",71
"garK-5","garK","5",53
"garL-3","garL","3",23
"garP-3","garP","3",29
"garR-5","garR","5",25
"gatA-1","gatA","1",41
"gatB-2","gatB","2",25
"gatC-1","gatC","1",32
"gatD-5","gatD","5",60
"gatR-12","gatR","12",63
"gatY-1","gatY","1",0
"gatZ-4","gatZ","4",261
"gcd-2","gcd","2",4255
"gcl-1","gcl","1",32
"gcvA-4","gcvA","4",1640
"gcvH-3","gcvH","3",171
"gcvP-1","gcvP","1",122
"gcvR-1","gcvR","1",472
"gcvT-3","gcvT","3",58
"gdhA-2","gdhA","2",311
"gfcD-3","gfcD","3",238
"ggt-5","ggt","5",193
"ghrB-3","ghrB","3",375
"gidA-3","gidA","3",5398
"gidB-4","gidB","4",1828
"glcA-2","glcA","2",62
"glcB-2","glcB","2",120
"glcC-5","glcC","5",574
"glcD-5","glcD","5",12
"glcE-5","glcE","5",33
"glcF-1","glcF","1",4
"glcG-1","glcG","1",0
"gldA-1","gldA","1",48
"glf-1","glf","1",84
"glgA-1","glgA","1",281
"glgB-5","glgB","5",503
"glgC-5","glgC","5",289
"glgP-1","glgP","1",185
"glgS-5","glgS","5",15
"glgX-3","glgX","3",219
"glk-3","glk","3",1425
"glmM-1","glmM","1",1208
"glmS-1","glmS","1",504
"glmU-4","glmU","4",296
"glnA-1","glnA","1",0
"glnB-4","glnB","4",19
"glnD-3","glnD","3",286
"glnE-2","glnE","2",532
"glnG-3","glnG","3",292
"glnH-5","glnH","5",1548
"glnK-1","glnK","1",0
"glnL-3","glnL","3",1796
"glnP-4","glnP","4",803
"glnQ-4","glnQ","4",79
"glnS-5","glnS","5",1807
"gloA-3","gloA","3",26
"gloB-1","gloB","1",267
"glpA-3","glpA","3",50
"glpB-4","glpB","4",1
"glpC-4","glpC","4",38
"glpD-2","glpD","2",12728
"glpE-2","glpE","2",40
"glpF-5","glpF","5",851
"glpG-2","glpG","2",165
"glpK-3","glpK","3",721
"glpQ-2","glpQ","2",158
"glpR-5","glpR","5",3816
"glpT-5","glpT","5",99
"glpX-4","glpX","4",24
"gltA-4","gltA","4",2630
"gltB-3","gltB","3",1597
"gltD-1","gltD","1",0
"gltF-1","gltF","1",39
"gltI-1","gltI","1",1215
"gltJ-4","gltJ","4",453
"gltK-1","gltK","1",365
"gltL-1","gltL","1",0
"gltP-4","gltP","4",117
"gltS-2","gltS","2",93
"gltX-3","gltX","3",1425
